"ID","WT","treat1","log2FoldChange","pvalue","padj"
"AT5G23020",2263.24191150919,1051.57686766719,-1.10520873456609,5.36780158863567e-44,1.232019032545e-42
"AT5G23030",8.99033286212986,2.22414158553752,-2.01333339619532,0.0426802324103031,0.0704589153763161
"AT5G23050",1722.8601239642,696.173795682097,-1.30752438949717,4.76079761237636e-16,3.25908922970703e-15
"AT5G23060",25636.7593558327,11957.3748013557,-1.10037787667787,5.21591515139977e-56,1.63781078331855e-54
"AT5G23100",331.812257320737,104.613958866754,-1.66484787569831,3.79739283418979e-31,5.52467444058214e-30
"AT5G23130",224.018574138958,108.427218821711,-1.04454056944194,1.36830562683447e-07,4.84316272791345e-07
"AT5G23190",183.020269744743,59.7881697493305,-1.60932197235295,7.63772102776189e-14,4.50108979795494e-13
"AT5G23210",734.104041038384,359.301316731755,-1.03035381650676,2.57744242531338e-17,1.8929693044189e-16
"AT5G23370",72.3295177719248,13.2868025169902,-2.44073507988905,1.50198277100567e-12,8.10200655471953e-12
"AT5G23410",170.664751101023,79.9955759298213,-1.08942505775957,1.35169761650863e-06,4.32224357111108e-06
"AT5G23530",476.692984276116,221.590584475794,-1.10547107742247,6.00224987327295e-14,3.56569010002711e-13
"AT5G23730",1144.16245338757,450.005786150707,-1.34707966509543,2.04717506637767e-14,1.25463394296615e-13
"AT5G23750",586.481982142438,274.044474551945,-1.09774888593606,4.47707937537933e-12,2.31374248253558e-11
"AT5G23800",105.232985775524,16.3344018956262,-2.68861446635896,2.26705809575446e-20,1.99465140354192e-19
"AT5G23810",66.24251900088,12.6744088531742,-2.39327075062868,6.15794165981808e-12,3.15567025028863e-11
"AT5G23820",2403.77854497132,1171.10845464006,-1.03720968930094,6.01184423072446e-48,1.51525801178941e-46
"AT5G23860",1349.39291281086,552.951582270848,-1.28658404999175,7.27135736033601e-22,6.97078887534295e-21
"AT5G23920",2536.78301453051,1095.81022362118,-1.21050321408779,1.54917743967274e-65,6.05718448287427e-64
"AT5G23980",319.887971588131,157.770062600085,-1.01895142033443,1.59066876016045e-08,6.13389227286151e-08
"AT5G24040",11.6134922156223,4.73689617074535,-1.2821050486082,0.0472111398703746,0.0771092107750301
"AT5G24080",49.368604623525,12.7728899421914,-1.95935235117262,1.68778486896881e-05,4.76218055199504e-05
"AT5G24100",34.0399975529658,11.944165720786,-1.51878518103092,0.00206244018655064,0.0043562821982047
"AT5G24120",8267.49924682003,3991.26157454432,-1.05076603303019,1.70723332213134e-12,9.15854850337741e-12
"AT5G24150",8370.11928820808,756.861202752346,-3.46783962977612,8.74767752518978e-64,3.31406578042826e-62
"AT5G24155",330.8836964163,31.0357985192756,-3.42527928195806,9.10158923369463e-56,2.83602265802914e-54
"AT5G24160",448.733564342866,208.3034224077,-1.10836297417563,1.61568955695136e-05,4.56985784958256e-05
"AT5G24190",2.84781606616566,0,-3.79219092420267,0.0419926127789974,0.0694459273762611
"AT5G24200",17.2800691964637,7.31296418049493,-1.23619022776251,0.0270303167723441,0.0465902980297882
"AT5G24205",17.390739888284,5.20667206352944,-1.73929544664555,0.00438074435634912,0.00874285487167327
"AT5G24210",2073.62432749121,250.588314856475,-3.0463669813148,1.07187886915428e-88,6.1533413293238e-87
"AT5G24215",130.764870911659,40.698158932345,-1.68054474342397,6.14680163403095e-07,2.03818518982179e-06
"AT5G24230",49.1523072748534,22.0495284686198,-1.16265840018949,0.000925599663306815,0.00206066069763297
"AT5G24313",19.3743859831692,6.64252352044397,-1.54653860619833,0.0117014809395653,0.0216791504262672
"AT5G24580",473.183409304395,149.712445414067,-1.6613414646989,1.71619829544096e-22,1.69110686640422e-21
"AT5G24660",1730.16916554042,317.332112249344,-2.44751978708382,1.97222442406723e-34,3.32998833898909e-33
"AT5G24760",657.409404961322,261.449352835522,-1.32982552096521,1.103977669088e-37,2.09283971798051e-36
"AT5G24850",1762.34786195334,826.307852554952,-1.09285086047338,7.0369638047026e-26,8.20687585598155e-25
"AT5G24870",1244.45660630913,361.814495523709,-1.781639242019,3.27567289701095e-32,4.9670520410984e-31
"AT5G24880",30.6809058900107,11.1453427355493,-1.46418920067916,0.000555838304191666,0.00127937197600644
"AT5G25010",51.4397815308987,24.3688318279978,-1.07695415729211,0.000292803847620499,0.000700581374349802
"AT5G25020",20.2213313472758,5.11872383112599,-1.970558698614,0.000393858154074765,0.000925667203845114
"AT5G25090",358.315831307287,106.15180236489,-1.75433021720422,2.71337545544003e-36,4.92566475906442e-35
"AT5G25190",725.657184633843,13.7917460742498,-5.72533203443235,1.80856024592093e-83,9.61334485402589e-82
"AT5G25220",2769.4940086426,1254.09952019686,-1.14321063846829,3.64112906230676e-16,2.50949906390283e-15
"AT5G25350",3289.11523996623,1340.81250914874,-1.29432652162031,2.21573346576328e-21,2.05918120591318e-20
"AT5G25450",45.3204122793313,10.7406357434092,-2.07840560732539,5.17093494992529e-07,1.72917312100161e-06
"AT5G25451",7.59731265899761,0.700341896219536,-3.37812954153701,0.00802988518339422,0.0153069098136145
"AT5G25490",203.958908682753,71.1021954082497,-1.52085607177947,1.28962220557878e-16,9.1042252811664e-16
"AT5G25770",373.331573792103,120.105401095128,-1.63716375525558,9.1051862515319e-33,1.42402778310817e-31
"AT5G25930",223.710580845083,103.876618477788,-1.10829688729248,5.35278193440355e-06,1.60419080746318e-05
"AT5G25970",91.1110202830392,17.9514162456545,-2.35441533005748,3.4603887867246e-16,2.38830454366356e-15
"AT5G26190",17.0872540899476,5.55684301163921,-1.62418317710599,0.00417964572080887,0.00836683592847841
"AT5G26220",487.682355376853,116.881922461424,-2.0607582094134,2.82488959275094e-06,8.72094853649722e-06
"AT5G26260",481.716919180859,226.241920943752,-1.08940875938208,2.63747531745489e-07,9.05178264105563e-07
"AT5G26330",142.010292219182,68.9063330773767,-1.03954791881661,1.32315951804936e-07,4.69426289390263e-07
"AT5G26660",81.8018845678124,28.5443012843231,-1.51934506378256,5.80827806526658e-08,2.12938194194401e-07
"AT5G26600",1528.61137434173,494.611418816549,-1.62819217945508,8.26697100211231e-97,5.36429676887065e-95
"AT5G26582",8.73939978756891,1.14021655283505,-2.97678574969996,0.0043854108165144,0.00875073632954268
"AT5G26790",41.3332878741966,14.2685438714431,-1.54163970097837,0.00120848704860733,0.00264128522905326
"AT5G26820",2679.24578731786,1309.29209698017,-1.03320341980268,2.03581808563979e-37,3.83255321399997e-36
"AT5G26980",229.442896776868,82.7067230375397,-1.47201908428766,1.4608374379439e-14,9.03689447539433e-14
"AT5G27250",91.3449075969032,42.1355742283339,-1.11738109620338,4.85979336214479e-07,1.62802743992323e-06
"AT5G27350",3287.35000842255,809.454380921179,-2.02180360406327,1.56495704624785e-11,7.78902937869341e-11
"AT5G27360",625.243613303252,129.969856619941,-2.26605758506279,2.69453270549621e-50,7.13028296623607e-49
"AT5G27400",21.3138233881508,5.55157658333234,-1.94284390787045,0.00297915988278555,0.00612037241665559
"AT5G27420",276.219712975836,74.514125828673,-1.89137911957654,4.22264708941877e-08,1.56833831157922e-07
"AT5G27710",404.278014425528,174.443736522891,-1.21235945332492,1.02519188346024e-14,6.41843253083473e-14
"AT5G28020",1236.10804428591,496.973811787522,-1.31305117621566,4.4882211118067e-39,8.83806446213557e-38
"AT5G28262",35.1208225658714,5.50055149150663,-2.66655046426374,6.16735343627882e-08,2.25391086186834e-07
"AT5G28263",13.7165107291531,5.14511411508999,-1.41150054276213,0.0126238123714434,0.0232660352197066
"AT5G28415",23.7787956959515,7.47651417015617,-1.67440876795887,0.00467711264889756,0.00928345219718538
"AT5G28650",24.8975640987141,9.22034700629584,-1.42868802529508,0.00089411179942264,0.00199584077605797
"AT5G28715",8.25736585381121,0,-5.33748646480154,0.000110648769568078,0.000281355776959038
"AT5G32460",2.1059761496099,0,-3.37480464908208,0.0436462798664757,0.0718495335120622
"AT5G32621",3.47863526301251,0.380072184278349,-3.1128124634191,0.0408497198755605,0.0677625418496005
"AT5G33382",14.5138610055634,4.39023617484017,-1.71299929132343,0.0114739808748195,0.0212997173692343
"AT5G34825",12.5801676913281,5.21193849183632,-1.27627679176176,0.0399456943770422,0.0663576667400473
"AT5G34830",6.99851391478473,1.810657212886,-1.93232882450974,0.0340394930228928,0.0574260510837047
"AT5G34930",383.303004952315,172.429095227561,-1.15163835907713,1.57424242070235e-13,9.08858650740559e-13
"AT5G34940",568.909213711665,140.303971752678,-2.02031792348485,4.58335155847622e-62,1.66653668142627e-60
"AT5G35190",174.558787114465,34.9159582031476,-2.31879032267833,1.08393856874583e-14,6.77753285501301e-14
"AT5G35220",1930.81214073644,917.689794728203,-1.07304607072663,1.36236626781193e-57,4.40251817246031e-56
"AT5G35370",407.241403135643,183.659183165196,-1.14856165039408,8.76724862542231e-17,6.2490018101973e-16
"AT5G35640",3.0961415325362,0,-3.91826713089316,0.0228433200235507,0.0400237933166671
"AT5G35750",935.389993438276,453.371660175564,-1.04409774642306,1.23780590326418e-31,1.84371113723074e-30
"AT5G35777",263.68860695615,31.7893042574789,-3.05040085323015,1.11169078408753e-05,3.21020614867648e-05
"AT5G35790",3780.22702656497,1869.34824166761,-1.01570602461462,1.79634995670954e-07,6.28799802637007e-07
"AT5G35870",9.22699896559607,1.11207079276876,-3.05337801548697,0.00418211016975227,0.00837108244495986
"AT5G35960",25.7826240340896,5.84721148741182,-2.12708145049159,2.060573685008e-05,5.75611137701226e-05
"AT5G36000",16.2984266938859,4.47818440724362,-1.87190306482591,0.000392185147153606,0.000922001659303688
"AT5G36180",95.1451245026149,19.9627382258074,-2.25273931359357,4.20310325176086e-13,2.35146326843525e-12
"AT5G36270",7.91559430279417,0.381827660380641,-4.31552426638056,0.00315825195595765,0.00646651822939365
"AT5G36920",47.1049779676538,20.4026128824229,-1.209965876107,0.000541564236498575,0.0012485197242835
"AT5G37240",16.6518576078072,2.86117005721531,-2.50620270414304,0.000788891248123369,0.00177706293709851
"AT5G05465",3.09318389645716,0,-3.91658848510638,0.0182138781179292,0.0325697887951654
"AT5G37670",59.8603708003056,29.6054051276958,-1.01347161733604,0.000790010679424601,0.0017794202877217
"AT5G37680",579.568762893347,184.936176149673,-1.6508015784754,3.14405831845493e-34,5.26845706412523e-33
"AT5G37690",327.487034386572,151.199380105237,-1.11728492600521,1.29968840704973e-15,8.62382315887934e-15
"AT5G37770",1041.12714581024,346.030371642115,-1.58911303373072,4.54703219822615e-55,1.3884667280641e-53
"AT5G37790",945.493566222536,256.112043411789,-1.88562011401739,3.11896902480145e-38,6.02030112872673e-37
"AT5G37793",8.36821539210831,1.49565392925169,-2.49066453672248,0.00911872246181083,0.0172210380542813
"AT5G37820",3.96658446892829,0.380072184278349,-3.31896698504284,0.030980371960774,0.0527574603659189
"AT5G37980",20.9280219937068,7.49939350191558,-1.49053074935355,0.00394838883932029,0.00794038830380287
"AT5G37990",427.402329836,114.296984509256,-1.90315934260644,1.38410490889139e-09,5.88521986182156e-09
"AT5G38000",54.5416671541811,23.7089240245606,-1.20356010463527,2.2586161302725e-05,6.28056944909831e-05
"AT5G38010",109.475229821441,19.3855122264668,-2.50708377345797,7.21283070732315e-19,5.82640661363907e-18
"AT5G38020",401.98569031112,61.5810805641657,-2.70444287288705,6.86094197094373e-35,1.17716780736347e-33
"AT5G38030",220.394274765282,95.2232316034152,-1.20720030179145,3.34039662577271e-08,1.2501763594969e-07
"AT5G38130",5.82719278824668,0,-4.83351795530838,0.00432923485150803,0.00864571268781968
"AT5G38140",262.706776380343,111.627835333394,-1.23397007867747,1.81978039045346e-12,9.74303312843613e-12
"AT5G38150",845.465626666666,367.851856131513,-1.19901986843248,1.03687267655396e-24,1.13391392033006e-23
"AT5G38280",139.805141224309,53.9601350044456,-1.37365849528922,3.47639375655289e-13,1.95476042572891e-12
"AT5G38320",36.192603489128,16.4540068403005,-1.14252451374651,0.0185834066269692,0.0331407027910822
"AT5G38430",28642.6379678948,12720.5894551492,-1.1710094757224,4.04045439815563e-48,1.02048660875984e-46
"AT5G38530",1967.23429366362,908.990221306939,-1.11478149911871,1.22122682420311e-26,1.4794186721404e-25
"AT5G38540",13.3279228800419,2.54265582137641,-2.36452290243787,0.00113914733526487,0.00250116240872861
"AT5G38550",81.8338973553813,33.5047415540948,-1.28168237011265,1.10389842236356e-06,3.55878880930577e-06
"AT5G38820",80.3063588602547,16.5632124229594,-2.27071985931171,1.30158990174981e-11,6.51943962695377e-11
"AT5G38970",17.8435398240749,2.19424034936894,-3.00952013238305,0.000104069265173634,0.000265900296544804
"AT5G38980",4547.9331144347,1491.0507419601,-1.60857622115615,3.13821794307344e-47,7.77322247463004e-46
"AT5G39000",16.2604909690938,2.66928267045991,-2.6397804042868,0.000216518258980895,0.000528261248261588
"AT5G39020",51.5648980402905,13.6950204613349,-1.90955398313896,1.20818309654119e-08,4.71259011821134e-08
"AT5G39530",3277.67484348266,1467.77874217788,-1.15903912515655,2.71299510993058e-40,5.58108386948451e-39
