"","col.0h.1","col.0h.2","col.0h.3","col.24h.1","col.24h.2","col.24h.3","col.3h.1","col.3h.2","col.3h.3"
"AT1G30320",813.847788142967,933.497744381188,857.825039615954,502.867028721305,351.921802850317,366.009513460051,717.23200692036,852.250701436873,810.6689770232
"AT1G30330",1603.31764714801,1466.80234351708,1486.11866273603,7261.21661745866,8524.9117317323,8316.73953637884,1851.01029478293,1761.12286986497,1855.10759717314
"AT1G30360",6007.28430717971,6463.20517406883,6357.82571878627,41603.9418750747,50570.6378131684,55118.0681640462,13745.1077428789,17028.4180815159,18004.2757335165
"AT1G30370",15.939415205565,13.7405371758041,11.6710889743667,20.6186936605546,25.2123082639033,27.3651972680412,20.2296207080102,38.0730553906507,28.0924893027842
"AT1G30380",35639.5947869843,35223.0082666002,35647.3960907074,30837.5473353218,32664.6463815754,34032.0434524677,33574.7336777989,35151.1924474656,33329.7319513746
"AT1G30390",1.87522531830177,4.29391786743877,0.972590747863893,13.7457957737031,14.7071798206103,10.2619489755154,278.61704884214,302.631978746198,225.743217611658
"AT1G30400",6885.82736880409,7103.8577198907,7514.23611799644,8807.61864200026,8373.63788214888,8890.26846245487,5987.96772957101,6780.90878829384,7297.02409639819
"AT1G30410",1019.18496049701,1060.59771325738,1035.80914647505,1555.56588839073,1035.80566450869,869.985229813142,1082.28470787854,937.182901923709,1065.50798712703
"AT1G30420",342.228620590073,358.971533717881,413.351067842155,271.479466530636,317.25487898745,291.895437525772,315.398177402158,313.37053283074,293.967834489848
"AT1G30440",1556.43701419047,1557.83340230679,1833.33355972344,1745.71606326029,1671.36593532792,1744.53132583762,1840.89548442893,2107.68529713884,2333.68321850986
"AT1G30450",793.220309641648,912.886938617482,969.672975620302,765.182631402806,770.02591489338,778.767905586338,1045.50357931853,1156.83514456208,1185.90436985325
"AT1G30455",0.937612659150884,0,1.94518149572779,0,6.30307706597582,1.14021655283505,12.8733949960065,4.88116094751932,8.02642551508119
"AT1G30460",571.006109422888,578.820128530746,589.389993205519,576.177939514388,558.87283318319,596.33325713273,543.441174474273,587.691778081326,546.800238214906
"AT1G30470",2001.80302728714,2039.61098703342,2106.63155987319,2081.34257673488,2203.97594740288,2286.13418843427,1970.54896260299,2171.14038945659,2135.0291870116
"AT1G30475",57.1943722082039,45.5155293948509,51.5473096367864,66.4380129062316,67.2328220370755,80.9553752512884,42.2982978440213,44.9066807171777,33.1090052497099
"AT1G30480",519.43741316959,507.541091931262,562.15745226533,563.577626721827,668.126168993437,681.849498595359,513.096743412258,540.832632985141,518.707748912122
"AT1G30490",918.860405967866,934.356527954676,976.481110855349,1419.25341363484,1297.38336274669,1243.97625914304,1129.18064679257,1020.16263803154,1009.32300852146
"AT1G30500",405.986281412333,462.025562536411,426.967338312249,167.240515246721,75.6369247917099,104.899922860824,365.972229172184,387.564179233034,364.199057746809
"AT1G30510",4557.73513613245,4021.68347464315,3648.18789523746,4453.6378306798,4567.62984714381,4224.50232825385,4045.00461338803,4522.8837339714,3937.96501833671
"AT1G30515",35.6292810477336,44.6567458213632,51.5473096367864,26.3461085662643,26.2628211082326,18.2434648453608,35.861600346018,33.1918944431314,20.066063787703
"AT1G30520",980.742841471825,1072.6206832862,1262.42279072733,223.369181322675,302.54769916684,303.297603054123,1153.08838035658,1123.64325011895,1057.48156161195
"AT1G30530",5986.65682867839,5931.61814207991,4809.46124818695,2298.98434315184,1413.99028846724,913.313458820874,2680.42474381135,2679.75736018811,2784.16635054379
"AT1G30540",288.784699018472,295.421549279787,274.270590897618,310.425887889462,348.770264317329,375.131245882731,276.777992414139,287.98849590364,272.89846751276
"AT1G30545",73.133787413769,86.7371409222631,66.1361708547447,67.5834958873735,69.3338477257341,55.8706110889174,107.584801038054,80.0510395393168,75.2477392038861
"AT1G30550",18.7522531830177,20.6108057637061,23.3421779487334,13.7457957737031,15.7576926649396,5.70108276417524,16.5515078520083,10.7385540845425,14.0462446513921
"AT1G30560",7.50090127320707,3.43513429395101,6.80813523504725,2.29096596228385,2.10102568865861,2.2804331056701,9.19528214000462,3.90492875801546,6.01981913631089
"AT1G30570",443.490787778368,439.69718962573,574.801131987561,418.101288116802,361.376418449281,320.400851346649,697.921914426351,728.269213369883,804.649157886889
"AT1G30580",5204.68787094656,5309.85883487478,5095.40292805894,6092.8239766939,5657.0116667133,6267.77039093426,4774.1904870904,4685.91450961855,4544.96344791472
"AT1G30590",1498.30502932311,1430.7334334306,1536.69338162495,1624.29486725925,1358.31310771779,1643.0520526353,1302.05195102465,1191.97950338422,1334.39324188225
"AT1G30600",724.774585523633,611.453904323281,720.689744167145,470.793505249331,440.164881773978,396.795360386597,682.289934788343,685.314997031712,658.166892236657
"AT1G30610",867.291709714568,882.829513545411,980.371473846805,934.71411261181,886.632840613933,916.734108479379,980.217076124493,1004.54292299948,937.085178885729
"AT1G30620",364.731324409694,360.689100864857,344.297124743818,1366.56119650232,1091.48284525815,1127.67417075386,341.144967394171,364.134606684941,322.060323792633
"AT1G30630",2244.64470600722,2108.31367291244,2137.75446380484,2437.58778387002,2372.05800249557,2471.98948654638,2136.98356933707,2001.27598848292,1954.43461292227
"AT1G30640",269.094833176304,308.303302882104,224.668462756559,890.040276347275,764.773350671733,885.948261552833,346.662136678174,361.20591011643,348.146206716647
"AT1G30650",264.406769880549,238.741833429596,236.339551730926,274.915915474062,266.830262459643,320.400851346649,301.605254192152,325.085319104787,277.914983459686
"AT1G30660",22.5027038196212,14.5993207492918,15.5614519658223,11.4548298114192,15.7576926649396,7.98151586984534,21.1491489220106,27.3345013061082,6.01981913631089
"AT1G30680",1496.42980400481,1520.04692507332,1442.35207908215,1368.8521624646,1113.54361498906,1253.09799156572,1245.04120175663,1281.79286481857,1272.18844414037
"AT1G30690",2787.52243565558,2648.48854063623,3028.64758884816,3489.1411605583,3045.43673571065,3376.18121294458,3098.81008118156,3359.2149640828,3254.71554636542
"AT1G30700",526.938314442797,526.434330547993,626.348441624347,512.03089257044,788.935146091307,728.598377261596,622.520600878313,643.337012883046,665.190014562353
"AT1G30720",235.340777446872,285.116146397934,287.886861367712,109.966366189625,210.102568865861,197.257463640463,342.984023822172,396.350268938569,457.506254359628
"AT1G30730",271.907671153756,362.406668011832,426.967338312249,426.119668984796,737.460016719171,665.886466855668,660.221257652332,776.104590655572,839.764769515369
"AT1G30740",0.937612659150884,4.29391786743877,3.89036299145557,4.5819319245677,4.20205137731722,5.70108276417524,10.1148103540051,4.88116094751932,9.02972870446634
